GeneID	LOG_count	WT0_count	LOG_rpkm	WT0_rpkm	log2_Ratio(WT0/LOG)	Pvalue	FDR	significant
Unigene0003359	86	57	5.6513	3.7284	-0.60002613	0.019316895	0.045848789	no
Unigene0003360	103	206	2.6921	5.3594	0.993339495	6.18E-09	3.73E-08	no
Unigene0003361	372	296	11.5019	9.11	-0.336349241	0.003349953	0.009671424	no
Unigene0003362	1	10	0.0833	0.8296	3.316027493	0.011740243	0.029576409	yes
Unigene0003363	386	355	25.0394	22.9226	-0.127429301	0.248333925	0.39084956	no
Unigene0003364	608	650	11.7771	12.5328	0.089724436	0.286173643	0.437204125	no
Unigene0003365	611	1050	23.72	40.5754	0.774501307	7.31E-25	9.57E-24	no
Unigene0003366	283	465	7.4989	12.2649	0.709784581	1.06E-10	7.34E-10	no
Unigene0003367	402	544	20.7697	27.9771	0.429766048	9.69E-06	4.25E-05	no
Unigene0003368	6040	2560	232.8567	98.2406	-1.245051116	2.24E-238	2.49E-236	yes
Unigene0003369	332	332	14.1975	14.1322	-0.00665084	0.9695491	1	no
Unigene0003370	9	13	1.2384	1.7806	0.523886084	0.523698161	0.681875243	no
Unigene0003371	17	27	3.5133	5.5543	0.660778329	0.17464488	0.296227436	no
Unigene0003372	49	43	7.0027	6.117	-0.195087007	0.603246987	0.761933795	no
Unigene0003373	3	2	0.7283	0.4833	-0.59161385	1	1	no
Unigene0003374	927	1321	14.9635	21.2254	0.504344077	5.53E-15	4.90E-14	no
Unigene0003375	8	8	1.7441	1.7361	-0.006632711	1	1	no
Unigene0003376	296	214	11.4036	8.2066	-0.474632799	0.00027585	0.000979444	no
Unigene0003377	179	294	4.4966	7.3516	0.709223719	2.40E-07	1.26E-06	no
Unigene0003378	302	275	8.869	8.0389	-0.141773342	0.250452091	0.391466377	no
Unigene0003379	10	14	2.2784	3.1751	0.478780979	0.541501489	0.700814016	no
Unigene0003380	217	98	7.947	3.5725	-1.153476333	2.43E-11	1.75E-10	yes
Unigene0003381	2	0	0.4212	0.001	-8.718361626	0.500024999	0.660319045	no
Unigene0003383	53	123	3.0788	7.1123	1.207948027	1.55E-07	8.29E-07	yes
Unigene0003384	1	2	0.1597	0.318	0.993662453	1	1	no
Unigene0003385	235	115	22.3703	10.8969	-1.037666835	1.91E-10	1.29E-09	yes
Unigene0003386	770	490	36.4309	23.0767	-0.658725705	1.02E-14	8.94E-14	no
Unigene0003387	246	215	29.8598	25.977	-0.200969674	0.140527473	0.247238175	no
Unigene0003388	1270	1243	47.9312	46.6965	-0.037650639	0.550081621	0.70824275	no
Unigene0003389	27	16	4.8576	2.8654	-0.761507148	0.126696326	0.22574468	no
Unigene0003390	75	47	7.9722	4.9729	-0.680890483	0.014464906	0.035499	no
Unigene0003391	444	358	28.2415	22.6667	-0.31724235	0.002569628	0.007590998	no
Unigene0003392	3126	1501	151.3785	72.3528	-1.065039562	7.37E-111	3.63E-109	yes
Unigene0003393	83	130	12.2718	19.1325	0.640678524	0.001652555	0.005079226	no
Unigene0003394	28	20	2.9649	2.1081	-0.492040142	0.312908803	0.467333965	no
Unigene0003395	28	28	3.0521	3.0381	-0.006632875	1	1	no
