id	R0_count	R3_count	R0_fpkm	R3_fpkm	log2FC	Pvalue	FDR	significant
OS12T0102300-01	43	28	1.03	0.72	-0.516575526	0.154642811	0.262962637	no
OS12T0102350-01	90	54	4.32	2.81	-0.620461182	0.012152679	0.029964098	no
OS12T0102400-01	2165	1733	18.79	16.19	-0.214862081	1.92E-05	8.05E-05	no
OS12T0102500-01	837	598	9.09	6.99	-0.378987839	1.72E-06	8.23E-06	no
OS12T0102500-02	133	112	3.69	3.36	-0.135159583	0.48403988	0.650889611	no
OS12T0102600-01	241	389	3.82	6.65	0.799781702	2.17E-11	1.64E-10	no
OS12T0102700-01	45	34	0.54	0.44	-0.295455884	0.429108255	0.592614956	no
OS12T0102800-00	0	1	0.001	0.01	3.321928095	1	1	no
OS12T0103000-01	294	223	5.06	4.14	-0.289506617	0.026540174	0.059550283	no
OS12T0103150-00	1	0	0.08	0.001	-6.321928095	1	1	no
OS12T0103300-01	59	39	5.13	3.7	-0.471433555	0.130229762	0.227459671	no
OS12T0103500-00	0	2	0.001	0.09	6.491853096	0.500024999	0.653216704	no
OS12T0103580-00	2	0	0.1	0.001	-6.64385619	0.500024999	0.653216704	no
OS12T0104200-00	22	14	1.06	0.73	-0.538095896	0.405457185	0.566350429	no
OS12T0104300-01	296	212	2.73	2.11	-0.371657952	0.004272909	0.011823793	no
OS12T0104300-02	42	25	0.67	0.43	-0.639824436	0.086962949	0.164214107	no
OS12T0104400-01	263	261	5.63	6.03	0.09902308	0.517764186	0.670243117	no
OS12T0104700-01	493	238	11.99	6.25	-0.939903564	5.36E-17	5.68E-16	no
OS12T0104733-00	1	1	0.02	0.02	0	1	1	no
OS12T0104766-00	475	439	10.66	10.63	-0.004065841	0.9483946	1	no
OS12T0104800-01	517	424	29.17	26	-0.165973763	0.064274943	0.12699422	no
OS12T0104800-02	14	14	7.22	8.38	0.214951407	0.850658524	0.969247181	no
OS12T0104850-01	0	1	0.001	0.06	5.906890596	1	1	no
OS12T0104900-00	2	0	0.18	0.001	-7.491853096	0.500024999	0.653216704	no
OS12T0105150-00	0	1	0.001	0.06	5.906890596	1	1	no
OS12T0105200-00	52	21	3.31	1.46	-1.180862848	0.001319353	0.004069953	down
OS12T0105300-01	1163	1132	13.19	13.83	0.068356592	0.317300633	0.467324527	no
OS12T0105300-02	265	322	7.21	9.47	0.393365166	0.001724927	0.005201354	no
OS12T0105300-03	1152	1130	13.62	14.39	0.079339889	0.241030855	0.379606588	no
OS12T0105401-00	5	2	0.14	0.06	-1.222392421	0.453207015	0.617978769	no
OS12T0105500-01	96	64	3.98	2.88	-0.466699619	0.048657498	0.100661976	no
OS12T0105600-01	103	68	2.93	2.09	-0.487397722	0.032687818	0.071192106	no
OS12T0105700-01	306	226	6.15	4.9	-0.327804661	0.010103149	0.025464037	no
OS12T0105800-01	664	222	9.92	3.57	-1.474416046	1.69E-43	4.25E-42	down
OS12T0105850-01	0	1	0.001	0.02	4.321928095	1	1	no
OS12T0105950-01	489	444	12.73	12.49	-0.027458942	0.724707924	0.863273111	no
OS12T0105950-02	418	396	11.08	11.34	0.033462759	0.836590648	0.957982033	no
OS12T0105962-00	1	1	0.01	0.01	0	1	1	no
OS12T0105975-00	311	251	11.87	10.37	-0.194904041	0.113490689	0.205621129	no
OS12T0106000-01	12954	1155	478.45	46.18	-3.373028087	0	0	down
OS12T0106100-00	17	7	0.72	0.32	-1.169925001	0.093326679	0.17409601	no
OS12T0106200-01	240	142	18.35	11.85	-0.630893004	2.29E-05	9.49E-05	no
OS12T0106300-01	1370	729	28.41	16.31	-0.800642049	2.08E-32	3.88E-31	no
OS12T0106500-00	58	42	1.06	0.83	-0.352881023	0.272450099	0.413293537	no
