gene_id	C1	C2	C3	M1	M2	M3
AT4G25080	126	97.0498	127.561	46.7327	61.0271	47.3249
AT4G25100	53.5993	56.5126	45.3005	54.2083	172.437	83.684
AT4G25220	2.09404	4.23156	2.19897	5.20269	7.99696	6.92432
AT4G25260	119.105	149.019	127.231	253.903	217.293	288.524
AT4G25290	8.435	8.61954	9.92607	1.47183	1.85891	1.58097
AT4G25400	2.00619	3.26812	1.51923	4.22621	4.51293	5.97705
AT4G25410	0.712186	0.347745	1.1043	1.89592	2.09346	1.10565
AT4G25433	2.52305	2.29722	3.05638	1.3123	0.847644	0.775679
AT4G25480	1.48547	1.25259	1.33994	0.130066	0.69697	0.195298
AT4G25580	1.94839	0.484151	1.16869	2.65858	5.14566	2.88178
AT4G25780	53.1524	33.959	60.0881	24.2761	26.0458	16.1852
AT4G25910	11.1342	8.0626	9.8374	4.65245	6.10536	3.68794
AT4G26150	3.44859	5.61526	4.65011	0.371975	0.399852	0.46663
