sampleID	BRCA1	BRCA2
GTEX-T5JW-2026-SM-4DM63	0.499412126	0.277379975
GTEX-T6MN-0726-SM-32PML	0.5289167	0.069298012
GTEX-T6MO-0326-SM-32QOK	0.138618434	-0.49268396
GTEX-TKQ1-0226-SM-33HB5	0.071513805	-0.429690615
GTEX-TKQ2-1826-SM-33HB2	0.411619706	-0.192871044
GTEX-TML8-1226-SM-32QON	0.568788212	-0.37069236
GTEX-TMMY-0726-SM-33HBE	0.33304403	-0.056653902
GTEX-U3ZH-1426-SM-4DXSR	0.37621185	-0.284832642
GTEX-U3ZN-1926-SM-4DXSG	0.526985069	-0.446966984
GTEX-U412-1826-SM-4DXTJ	-0.169026603	-0.155522824
GTEX-U8XE-0826-SM-4E3J1	-0.075204004	-0.250727592
GTEX-UJHI-1426-SM-3DB9C	0.335658452	-0.381533508
GTEX-UPK5-2326-SM-3P5Z8	0.424064525	-0.377371574
GTEX-UTHO-1026-SM-3GAF7	0.179264464	-0.630598586
GTEX-V955-2026-SM-3GAFA	0.353146546	-0.407490152
GTEX-VJWN-0726-SM-3GIJ8	0.191730393	-0.228045251
GTEX-VUSG-2226-SM-4KKZO	0.07773118	-0.410385459
GTEX-W5X1-2326-SM-3GIL6	0.329601248	-0.227678293
GTEX-WFON-1826-SM-3GILG	0.203304916	-0.20978523
GTEX-WI4N-1426-SM-3LK7H	-0.108351056	-0.197021145
GTEX-WOFL-0826-SM-3MJG1	0.290479813	-0.244277555
GTEX-WRHU-0326-SM-3MJFY	0.294466226	-0.189633046
GTEX-WXYG-2226-SM-4E3IM	0.172602931	-0.336581788
GTEX-WY7C-2726-SM-3NB3P	0.356217134	-0.530914701
GTEX-WYBS-0926-SM-3NM94	0.560504415	0.017033339
GTEX-WYJK-1326-SM-3NB2T	0.282848603	-0.259558355
GTEX-WYVS-1726-SM-3NMAY	0.346352975	-0.051000546
GTEX-X15G-1626-SM-3NMB3	0.262213706	-0.439376126
GTEX-X261-0626-SM-3NMD9	-0.029327757	-0.562566556
GTEX-X4EP-2926-SM-3P5YQ	0.096562438	-0.256255121
GTEX-X4XY-0926-SM-4E3JD	0.182984967	-0.551139154
GTEX-XBED-1626-SM-47JYN	0.121231455	-0.175809059
GTEX-XGQ4-0926-SM-4AT4U	-0.018362575	-0.764471553
GTEX-XMD1-0826-SM-4AT52	0.320976677	-0.633577043
GTEX-XMD2-0926-SM-4WWEF	0.188365926	-0.538501473
GTEX-XMK1-1126-SM-4IHJ8	0.140508043	-0.83209219
GTEX-XOT4-0726-SM-4GIAW	0.1775365	-0.125170422
GTEX-XQ3S-1326-SM-4BOPQ	0.093071306	-1.072835026
GTEX-XQ8I-2426-SM-4WAXY	0.304705898	-0.846490011
